,0,type,content,3,4,5,6,7,8,9,10,11,12,13
0,11972.json,1,build wall u.s.-mexico border take liter year .,immigration,rick-perry,Governor,Texas,republican,30,30,42,23,18,Radio interview
1,11685.json,0,wisconsin pace doubl number layoff year .,jobs,katrina-shankland,State representative,Wisconsin,democrat,2,1,0,0,0,a news conference
2,11096.json,0,say john mccain done noth help vet .,"military,veterans,voting-record",donald-trump,President-Elect,New York,republican,63,114,51,37,61,comments on ABC's This Week.
3,5209.json,0,suzann bonamici support plan cut choic medicar advantag senior .,"medicare,message-machine-2012,campaign-advertising",rob-cornilles,consultant,Oregon,republican,1,1,3,1,1,a radio show
4,9524.json,0,"ask report whether hes center crimin scheme violat campaign law , gov . scott walker nod yes .","campaign-finance,legal-issues,campaign-advertising",state-democratic-party-wisconsin,,Wisconsin,democrat,5,7,2,2,7,a web video
5,5962.json,1,past five year feder govern paid $ <num> million retir disabl benefit deceas former feder employe .,"federal-budget,pensions,retirement",brendan-doherty,,Rhode Island,republican,1,2,1,1,0,a campaign website
6,7070.json,1,say tennesse law requir school receiv half proceed -- $ <num> million per year -- half-cent increas shelbi counti sale tax .,"county-budget,county-government,education,taxes",stand-children-tennessee,Child and education advocacy organization.,Tennessee,none,0,0,0,0,0,in a post on Facebook.
7,1046.json,0,say vice presid joe biden `` admit american peopl scam '' econom stimulus packag .,"economy,stimulus",john-boehner,Speaker of the House of Representatives,Ohio,republican,13,22,11,4,2,a press release.
8,12849.json,1,donald trump marriag equal . want go back .,"gays-and-lesbians,marriage",sean-patrick-maloney,Congressman for NY-18,New York,democrat,0,0,0,0,0,a speech at the Democratic National Convention
9,13270.json,0,know half hillari clinton meet secretari state given major contributor clinton foundat .,foreign-policy,mike-pence,Governor,Indiana,republican,8,10,12,5,0,"comments on ""Meet the Press"""
10,6649.json,0,know democrat georgia republican . know fact .,elections,mike-berlon,,Georgia,democrat,1,0,0,0,0,an article
11,2508.json,0,politifact texa say congressman edward attack bill flore fals .,"ethics,message-machine",bill-flores,Businessman,Texas,republican,2,0,0,0,0,a TV ad.
12,11269.json,0,denali kenyan word black power .,environment,viral-image,,,none,5,5,0,3,15,an image shared on Facebook
13,11200.json,0,"say <num> percent feder spend goe militari <num> percent goe food agricultur , includ food stamp .","federal-budget,military,poverty",facebook-posts,Social media posting,,none,14,18,15,11,36,a meme on social media
14,8047.json,0,resid requir public worker,"city-government,county-government,unions",chris-abele,Philanthropist,Wisconsin,none,3,5,4,4,2,a letter
15,4888.json,1,say unemploy rate colleg graduat <num> percent <num> percent noncollege-educ .,"education,jobs",rick-santorum,,Pennsylvania,republican,12,16,13,7,5,a speech
16,3331.json,0,unfortun document instanc peopl defec ( statehous ) build .,"labor,state-budget",tom-niehaus,President of the Ohio Senate,Ohio,republican,0,0,0,0,1,interviews with reporters
17,9198.json,0,recent gallup poll found <num> percent american <num> percent democrat say biggest threat nation secur big govern .,"government-efficiency,government-regulation,polls",marsha-blackburn,U.S. Representative,Tennessee,republican,2,2,1,0,0,a speech to the Freedom Summit in New Hampshire
18,73.json,1,"year , <num> peopl die america n't health care .",health-care,hillary-clinton,Presidential candidate,New York,democrat,40,29,69,76,7,"a speech in Des Moines, Iowa."
19,1328.json,0,ronald reagan face even wors recess current one .,"economy,history",sarah-palin,,Alaska,republican,9,19,9,6,6,"her book, Going Rogue"
20,12169.json,1,public safeti issu citi allow transgend peopl use bathroom gender identifi .,"crime,gays-and-lesbians,sexuality",chris-sgro,"Executive Director, Equality NC",North Carolina,activist,0,1,0,1,0,a speech urging Charlotte's anti-discrimination ordinance be left intact
21,5244.json,0,say mitt romney one first nation republican leader endors marco rubio .,elections,marco-rubio,U.S. Senator,Florida,republican,33,24,32,35,5,a prepared statement
22,12996.json,0,number illeg immigr could <num> million . could <num> million .,immigration,donald-trump,President-Elect,New York,republican,63,114,51,37,61,"a speech in Phoenix, Ariz."
23,8162.json,1,marijuana less toxic alcohol .,"drugs,health-care,marijuana",marijuana-policy-project,,,none,0,0,0,1,0,a TV ad
